COUNTY,FIPS,SVPREC,CDDIST,CNGDEM01,CNGDEM02,CNGIND01,CNGREP01,CNGREP02
1,06001,200100,12,102,102,0,0,0
1,06001,200100A,12,1668,771,0,0,0
1,06001,200200,12,108,99,0,0,0
1,06001,200200A,12,1063,513,0,0,0
1,06001,201400,12,139,98,0,0,0
1,06001,201400A,12,1688,739,0,0,0
1,06001,202200,12,35,38,0,0,0
1,06001,202200A,12,192,93,0,0,0
1,06001,202500,12,172,143,0,0,0
1,06001,202500A,12,150,84,0,0,0
1,06001,202620,12,366,352,0,0,0
1,06001,202620A,12,153,95,0,0,0
1,06001,203100,12,74,37,0,0,0
1,06001,203100A,12,1382,536,0,0,0
1,06001,203500,12,131,82,0,0,0
1,06001,203500A,12,861,335,0,0,0
1,06001,203800,12,88,70,0,0,0
1,06001,203800A,12,1170,372,0,0,0
1,06001,203880,12,NA,NA,NA,NA,NA
1,06001,203880A,12,18,2,0,0,0
1,06001,203890,12,0,0,0,0,0
1,06001,203890A,12,23,5,0,0,0
1,06001,204210,12,229,211,0,0,0
1,06001,204210A,12,686,345,0,0,0
1,06001,204300,12,167,114,0,0,0
1,06001,204300A,12,1138,383,0,0,0
1,06001,204900,12,209,162,0,0,0
1,06001,204900A,12,200,123,0,0,0
1,06001,205200,12,80,64,0,0,0
1,06001,205200A,12,2109,956,0,0,0
1,06001,205700,12,130,70,0,0,0
1,06001,205700A,12,1832,791,0,0,0
1,06001,206200,12,90,70,0,0,0
1,06001,206200A,12,990,365,0,0,0
1,06001,206900,12,76,78,0,0,0
1,06001,206900A,12,561,246,0,0,0
1,06001,207000,12,69,44,0,0,0
1,06001,207000A,12,1029,348,0,0,0
1,06001,207200,12,101,80,0,0,0
1,06001,207200A,12,1194,422,0,0,0
1,06001,207700,12,325,329,0,0,0
1,06001,207700A,12,705,418,0,0,0
1,06001,208010,12,138,99,0,0,0
1,06001,208010A,12,1635,629,0,0,0
1,06001,208300,12,187,92,0,0,0
1,06001,208300A,12,1616,480,0,0,0
1,06001,208510,12,180,94,0,0,0
1,06001,208510A,12,1047,309,0,0,0
1,06001,208690,12,0,0,0,0,0
1,06001,208690A,12,23,1,0,0,0
1,06001,208800,12,101,45,0,0,0
1,06001,208800A,12,532,196,0,0,0
1,06001,208820,12,24,10,0,0,0
1,06001,208820A,12,179,58,0,0,0
1,06001,208900,12,73,27,0,0,0
1,06001,208900A,12,604,200,0,0,0
1,06001,209010,12,169,90,0,0,0
1,06001,209010A,12,1979,666,0,0,0
1,06001,209310,12,196,110,0,0,0
1,06001,209310A,12,2637,1137,0,0,0
1,06001,209700,12,111,90,0,0,0
1,06001,209700A,12,1091,469,0,0,0
1,06001,209900,12,270,195,0,0,0
1,06001,209900A,12,1663,782,0,0,0
1,06001,213100,12,31,37,0,0,0
1,06001,213100A,12,490,271,0,0,0
1,06001,213500,12,74,88,0,0,0
